Time,evolution,corretion
July 2004,4,0
August 2004,0,0
September 2004,0,0
October 2004,2,0
November 2004,3,0
December 2004,1,0
January 2005,0,0
February 2005,1,2
March 2005,9,6
April 2005,8,1
May 2005,2,1
June 2005,4,1
July 2005,13,4
August 2005,9,1
September 2005,7,0
October 2005,3,1
November 2005,2,11
December 2005,12,2
January 2006,9,3
February 2006,5,2
March 2006,7,3
April 2006,5,1
May 2006,5,0
June 2006,9,10
July 2006,1,1
August 2006,3,1
September 2006,11,1
October 2006,12,1
November 2006,6,1
December 2006,3,3
January 2007,7,9
February 2007,11,2
March 2007,3,3
April 2007,2,2
May 2007,7,1
June 2007,2,4
July 2007,8,4
August 2007,2,1
September 2007,2,6
October 2007,19,7
November 2007,4,4
December 2007,1,0
January 2008,3,0
February 2008,3,0
March 2008,5,4
April 2008,14,4
May 2008,5,5
June 2008,1,2
July 2008,4,0
August 2008,13,1
September 2008,1,14
October 2008,3,6
November 2008,11,1
December 2008,7,1
January 2009,11,2
February 2009,2,0
March 2009,6,0
April 2009,3,2
May 2009,5,3
June 2009,4,4
July 2009,8,1
August 2009,3,2
September 2009,6,0
October 2009,1,0
November 2009,7,0
December 2009,2,5
January 2010,13,0
February 2010,18,3
March 2010,17,3
April 2010,0,3
May 2010,10,2
June 2010,15,1
July 2010,3,2
August 2010,2,3
September 2010,9,3
October 2010,21,0
November 2010,8,1
December 2010,8,3
January 2011,8,3
February 2011,10,3
March 2011,5,0
April 2011,7,3
May 2011,9,2
June 2011,9,5
July 2011,15,2
August 2011,8,0
September 2011,6,1
October 2011,28,2
November 2011,8,1
December 2011,21,11
January 2012,12,9
February 2012,15,4
March 2012,23,2
April 2012,4,4
May 2012,1,3
June 2012,12,3
July 2012,8,3
August 2012,7,1
September 2012,13,0
October 2012,3,2
November 2012,23,1
December 2012,0,5
January 2013,7,4
February 2013,2,5
March 2013,1,2
April 2013,10,1
May 2013,0,5
June 2013,1,1
July 2013,2,2
August 2013,10,5
September 2013,9,2
October 2013,8,6
November 2013,10,0
December 2013,4,7
January 2014,12,1
February 2014,0,11
March 2014,6,1
April 2014,4,0
May 2014,0,0
June 2014,1,0
July 2014,1,1
August 2014,3,1
September 2014,9,2
October 2014,8,4
November 2014,7,0
December 2014,8,4
January 2015,5,5
February 2015,0,0
March 2015,1,0
April 2015,2,1
May 2015,2,0
June 2015,2,0
July 2015,1,0
August 2015,0,1
September 2015,1,0
October 2015,0,0
November 2015,10,0
December 2015,0,0
January 2016,3,1
February 2016,0,2
March 2016,1,3
April 2016,1,0
May 2016,0,0
June 2016,1,0
July 2016,0,1
August 2016,0,0
September 2016,1,0
October 2016,1,1
November 2016,0,0
December 2016,0,0
January 2017,3,1
February 2017,0,0
March 2017,2,0
April 2017,0,3
May 2017,0,0
June 2017,1,1
July 2017,2,1
August 2017,0,0
September 2017,1,0
October 2017,2,0
November 2017,0,0
December 2017,0,3
January 2018,1,0
February 2018,0,0
March 2018,1,0
April 2018,0,0
May 2018,0,0
June 2018,0,0
July 2018,0,0
August 2018,2,0
September 2018,0,0
October 2018,1,0
November 2018,0,0
December 2018,0,1
January 2019,0,1
February 2019,2,0
