Time,evolution,corretion
October 2004,1,0
November 2004,0,0
December 2004,2,0
January 2005,0,0
February 2005,6,0
March 2005,0,3
April 2005,0,1
May 2005,1,3
June 2005,0,0
July 2005,5,6
August 2005,4,0
September 2005,2,0
October 2005,0,0
November 2005,3,7
December 2005,4,4
January 2006,6,0
February 2006,5,3
March 2006,3,6
April 2006,3,0
May 2006,0,0
June 2006,6,4
July 2006,0,0
August 2006,1,0
September 2006,0,1
October 2006,4,3
November 2006,8,0
December 2006,0,0
January 2007,2,7
February 2007,0,2
March 2007,5,8
April 2007,0,7
May 2007,0,1
June 2007,2,0
July 2007,0,0
August 2007,0,0
September 2007,0,0
October 2007,4,0
November 2007,5,0
December 2007,2,0
January 2008,2,0
February 2008,5,0
March 2008,0,4
April 2008,12,0
May 2008,0,4
June 2008,0,0
July 2008,2,9
August 2008,2,0
September 2008,1,5
October 2008,3,7
November 2008,0,9
December 2008,4,6
January 2009,8,2
February 2009,0,0
March 2009,5,2
April 2009,2,0
May 2009,3,0
June 2009,0,0
July 2009,3,0
August 2009,0,0
September 2009,5,0
October 2009,0,1
November 2009,2,4
December 2009,5,2
January 2010,2,0
February 2010,7,0
March 2010,0,7
April 2010,0,3
May 2010,8,0
June 2010,0,3
July 2010,2,2
August 2010,2,0
September 2010,4,1
October 2010,1,4
November 2010,2,4
December 2010,18,1
January 2011,2,0
February 2011,0,13
March 2011,3,1
April 2011,2,0
May 2011,7,1
June 2011,0,2
July 2011,4,1
August 2011,6,0
September 2011,2,3
October 2011,4,3
November 2011,5,0
December 2011,5,0
January 2012,2,0
February 2012,31,8
March 2012,4,0
April 2012,4,2
May 2012,6,2
June 2012,2,0
July 2012,6,0
August 2012,3,1
September 2012,0,5
October 2012,3,9
November 2012,2,0
December 2012,1,2
January 2013,2,0
February 2013,2,6
March 2013,0,0
April 2013,0,0
May 2013,2,7
June 2013,0,22
July 2013,0,7
August 2013,3,0
September 2013,0,1
October 2013,2,0
November 2013,0,0
December 2013,0,2
January 2014,0,3
February 2014,0,5
March 2014,0,0
April 2014,0,0
May 2014,0,2
June 2014,0,0
July 2014,0,0
August 2014,0,0
September 2014,2,1
October 2014,1,2
November 2014,2,0
December 2014,0,0
January 2015,6,2
February 2015,5,0
March 2015,0,0
April 2015,19,0
May 2015,0,2
June 2015,2,0
July 2015,0,2
August 2015,5,0
September 2015,0,0
October 2015,2,0
November 2015,7,2
December 2015,0,2
January 2016,0,5
February 2016,0,0
March 2016,7,2
April 2016,0,0
May 2016,3,3
June 2016,6,3
July 2016,0,0
August 2016,0,8
September 2016,4,0
October 2016,0,0
November 2016,0,0
December 2016,0,0
January 2017,0,2
February 2017,0,0
March 2017,8,2
April 2017,18,0
May 2017,0,0
June 2017,0,9
July 2017,0,0
August 2017,0,0
September 2017,0,0
October 2017,3,0
November 2017,0,0
December 2017,0,0
January 2018,0,0
February 2018,0,0
March 2018,1,3
April 2018,3,0
May 2018,0,2
June 2018,0,0
July 2018,0,0
August 2018,0,5
September 2018,7,0
October 2018,6,0
